Дата;Месяц;Регион;Город;Канал;Клиент;Категория;Препарат;Упаковок;Цена за упаковку, ₽;Скидка, %;Сумма, ₽;Возвраты, упак.;Менеджер;Телефон менеджера;E-mail менеджера
09.01.2025;01.2025;Дальний Восток;Хабаровск;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Ветапрол;40;1450;4,3;55506;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
10.01.2025;01.2025;Москва;Москва;Аптечная сеть;Городская аптека 24;Диабет;Инсулакс;145;4320;4,5;598212;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
13.01.2025;01.2025;Урал;Екатеринбург;Аптечная сеть;Зелёная аптека;Респираторные;Респиролан;237;1890;6,3;419710;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
13.01.2025;01.2025;Центр;Рязань;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Дормивит;77;540;10,4;37256;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
15.01.2025;01.2025;Поволжье;Уфа;Аптечная сеть;Аптека у дома;Кардиология;Тензолар;44;980;4,7;41093;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
15.01.2025;01.2025;Сибирь;Красноярск;Онлайн-аптека;е-Аптека;Респираторные;Пульмостат;145;1240;5,6;169731;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
16.01.2025;01.2025;Центр;Ярославль;Дистрибьютор;МедТрейд;Респираторные;Пульмостат;2425;1240;6,8;2802524;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
19.01.2025;01.2025;Дальний Восток;Владивосток;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Дормивит;403;540;7,9;200428;2;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
19.01.2025;01.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;27;38900;13,8;905359;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
19.01.2025;01.2025;Центр;Рязань;Дистрибьютор;РосФарм Дистрибьюшн;Ветеринария;Ветапрол;611;1450;5,8;834565;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
20.01.2025;01.2025;Сибирь;Омск;Дистрибьютор;Фарма-Логистик;Безрецептурные;Гастролюкс;730;620;18,3;369774;3;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
21.01.2025;01.2025;Сибирь;Омск;Онлайн-аптека;АптекаМаркет;Диабет;Инсулакс;52;4320;3,4;217002;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
21.01.2025;01.2025;Сибирь;Омск;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Дормивит;425;540;6,8;213894;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
25.01.2025;01.2025;Поволжье;Уфа;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;2075;1240;17,6;2120152;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
26.01.2025;01.2025;Юг;Ростов-на-Дону;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;1694;1240;21,5;1648940;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
27.01.2025;01.2025;Поволжье;Казань;Дистрибьютор;МедТрейд;Диабет;Глюкорин;455;2680;6,1;1145017;5;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
27.01.2025;01.2025;Сибирь;Омск;Госпитальный сегмент;Региональный онкоцентр;Безрецептурные;Дормивит;324;540;12,9;152390;1;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
28.01.2025;01.2025;Дальний Восток;Хабаровск;Онлайн-аптека;е-Аптека;Кардиология;Кардистан;36;2150;6,7;72214;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
01.02.2025;02.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Респираторные;Пульмостат;309;1240;7,9;352890;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
01.02.2025;02.2025;Москва;Москва;Аптечная сеть;Зелёная аптека;Безрецептурные;Гастролюкс;68;620;7,8;38872;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
01.02.2025;02.2025;Центр;Рязань;Аптечная сеть;ФармаПлюс;Респираторные;Пульмостат;100;1240;4,6;118296;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
04.02.2025;02.2025;Поволжье;Уфа;Дистрибьютор;Сибирский фармсклад;Диабет;Глюкорин;205;2680;7,1;510393;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
04.02.2025;02.2025;Юг;Ростов-на-Дону;Аптечная сеть;Аптека у дома;Диабет;Глюкорин;131;2680;6,8;327207;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
05.02.2025;02.2025;Урал;Челябинск;Дистрибьютор;РосФарм Дистрибьюшн;Кардиология;Кардистан;242;2150;7,0;483879;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
08.02.2025;02.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;РосФарм Дистрибьюшн;Ветеринария;Ветапрол;798;1450;6,8;1078417;4;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
09.02.2025;02.2025;Поволжье;Уфа;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Гастролюкс;272;620;14,4;144356;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
10.02.2025;02.2025;Москва;Москва;Госпитальный сегмент;Областная клиническая больница;Респираторные;Пульмостат;459;1240;12,9;495738;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
10.02.2025;02.2025;Москва;Москва;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;386;540;14,8;177591;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
11.02.2025;02.2025;Юг;Ростов-на-Дону;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;32;1450;4,1;44498;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
13.02.2025;02.2025;Москва;Москва;Госпитальный сегмент;Кардиологический диспансер;Онкология;Онкотрел;7;38900;14,3;233361;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
13.02.2025;02.2025;Москва;Москва;Дистрибьютор;МедТрейд;Ветеринария;Флеастоп;524;1120;8,9;534648;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
13.02.2025;02.2025;Юг;Краснодар;Аптечная сеть;Зелёная аптека;Безрецептурные;Гастролюкс;145;620;6,3;84236;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
14.02.2025;02.2025;Сибирь;Омск;Дистрибьютор;Сибирский фармсклад;Респираторные;Пульмостат;1466;1240;5,0;1726948;12;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
14.02.2025;02.2025;Урал;Екатеринбург;Аптечная сеть;Аптека Здравница;Кардиология;Тензолар;173;980;5,7;159876;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
16.02.2025;02.2025;Дальний Восток;Владивосток;Аптечная сеть;Зелёная аптека;Респираторные;Пульмостат;313;1240;5,3;367550;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
16.02.2025;02.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;ФармаПлюс;Кардиология;Тензолар;119;980;7,9;107407;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
17.02.2025;02.2025;Москва;Москва;Аптечная сеть;Аптека Здравница;Диабет;Инсулакс;153;4320;6,5;617998;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
17.02.2025;02.2025;Москва;Москва;Аптечная сеть;Зелёная аптека;Безрецептурные;Гастролюкс;142;620;6,7;82141;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
17.02.2025;02.2025;Урал;Челябинск;Аптечная сеть;ФармаПлюс;Кардиология;Тензолар;66;980;6,0;60799;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
17.02.2025;02.2025;Урал;Пермь;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;9;38900;14,6;298985;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
19.02.2025;02.2025;Москва;Москва;Дистрибьютор;РосФарм Дистрибьюшн;Кардиология;Кардистан;332;2150;7,2;662406;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
20.02.2025;02.2025;Урал;Пермь;Госпитальный сегмент;Кардиологический диспансер;Респираторные;Пульмостат;178;1240;10,4;197765;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
21.02.2025;02.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;Сибирский фармсклад;Ветеринария;Ветапрол;492;1450;5,8;672023;4;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
21.02.2025;02.2025;Центр;Тула;Дистрибьютор;Сибирский фармсклад;Диабет;Инсулакс;845;4320;6,1;3427726;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
22.02.2025;02.2025;Москва;Москва;Аптечная сеть;Аптека Здравница;Кардиология;Тензолар;139;980;6,6;127229;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
23.02.2025;02.2025;Дальний Восток;Владивосток;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;318;540;13,5;148538;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
26.02.2025;02.2025;Центр;Тула;Дистрибьютор;Сибирский фармсклад;Онкология;Онкотрел;35;38900;5,1;1292064;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
27.02.2025;02.2025;Сибирь;Красноярск;Дистрибьютор;МедТрейд;Диабет;Глюкорин;721;2680;8,6;1766104;8;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
27.02.2025;02.2025;Урал;Екатеринбург;Дистрибьютор;Сибирский фармсклад;Респираторные;Респиролан;933;1890;7,9;1624064;3;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
01.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;ФармаПлюс;Кардиология;Кардистан;178;2150;7,8;352849;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
04.03.2025;03.2025;Центр;Воронеж;Аптечная сеть;ФармаПлюс;Кардиология;Кардистан;46;2150;4,0;94944;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
05.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;Фарма-Логистик;Онкология;Онкотрел;49;38900;17,4;1574439;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
05.03.2025;03.2025;Сибирь;Омск;Дистрибьютор;РосФарм Дистрибьюшн;Респираторные;Респиролан;1030;1890;6,7;1816271;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
06.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;МедТрейд;Респираторные;Респиролан;680;1890;8,4;1177243;4;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
07.03.2025;03.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Кардиология;Тензолар;211;980;14,3;177210;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
07.03.2025;03.2025;Урал;Пермь;Аптечная сеть;Зелёная аптека;Респираторные;Пульмостат;192;1240;4,5;227366;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
08.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Онлайн-аптека;АптекаМаркет;Диабет;Глюкорин;51;2680;5,5;129163;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
09.03.2025;03.2025;Дальний Восток;Хабаровск;Аптечная сеть;Аптека у дома;Кардиология;Тензолар;57;980;7,5;51670;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
10.03.2025;03.2025;Дальний Восток;Владивосток;Аптечная сеть;ФармаПлюс;Безрецептурные;Гастролюкс;99;620;6,0;57697;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
10.03.2025;03.2025;Юг;Волгоград;Дистрибьютор;МедТрейд;Диабет;Инсулакс;674;4320;8,9;2652540;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
11.03.2025;03.2025;Дальний Восток;Хабаровск;Ветеринарная клиника;ВетСити;Ветеринария;Ветапрол;47;1450;5,7;64265;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
13.03.2025;03.2025;Москва;Москва;Дистрибьютор;РосФарм Дистрибьюшн;Ветеринария;Флеастоп;246;1120;5,8;259540;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
13.03.2025;03.2025;Москва;Москва;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;211;540;11,2;101179;1;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
13.03.2025;03.2025;Юг;Ростов-на-Дону;Аптечная сеть;Городская аптека 24;Безрецептурные;Гастролюкс;97;620;5,1;57073;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
14.03.2025;03.2025;Москва;Москва;Онлайн-аптека;е-Аптека;Кардиология;Кардистан;41;2150;5,5;83302;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
14.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;ФармаПлюс;Диабет;Глюкорин;106;2680;6,2;266467;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
15.03.2025;03.2025;Дальний Восток;Владивосток;Онлайн-аптека;е-Аптека;Респираторные;Респиролан;144;1890;3,3;263179;1;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
16.03.2025;03.2025;Москва;Москва;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Флеастоп;30;1120;7,1;31214;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
18.03.2025;03.2025;Поволжье;Казань;Дистрибьютор;МедТрейд;Ветеринария;Флеастоп;234;1120;8,3;240327;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
18.03.2025;03.2025;Урал;Пермь;Госпитальный сегмент;Кардиологический диспансер;Респираторные;Пульмостат;212;1240;10,7;234752;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
19.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;Аптека Здравница;Безрецептурные;Гастролюкс;73;620;5,1;42952;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
19.03.2025;03.2025;Урал;Екатеринбург;Аптечная сеть;Зелёная аптека;Безрецептурные;Гастролюкс;144;620;4,0;85709;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
21.03.2025;03.2025;Москва;Москва;Дистрибьютор;МедТрейд;Диабет;Глюкорин;344;2680;5,5;871214;2;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
22.03.2025;03.2025;Москва;Москва;Дистрибьютор;МедТрейд;Диабет;Глюкорин;482;2680;8,9;1176793;5;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
22.03.2025;03.2025;Поволжье;Казань;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;968;1240;18,5;978261;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
22.03.2025;03.2025;Поволжье;Уфа;Онлайн-аптека;е-Аптека;Кардиология;Тензолар;113;980;3,1;107307;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
23.03.2025;03.2025;Сибирь;Омск;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;32;38900;14,2;1068038;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
24.03.2025;03.2025;Поволжье;Казань;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Гастролюкс;319;620;6,6;184727;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
25.03.2025;03.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Кардиологический диспансер;Онкология;Онкотрел;19;38900;14,9;628974;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
01.04.2025;04.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Кардиология;Тензолар;520;980;19,4;410738;1;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
03.04.2025;04.2025;Дальний Восток;Хабаровск;Аптечная сеть;Городская аптека 24;Кардиология;Тензолар;126;980;6,7;115207;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
03.04.2025;04.2025;Поволжье;Самара;Дистрибьютор;МедТрейд;Диабет;Инсулакс;689;4320;7,2;2762173;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
03.04.2025;04.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;8;38900;12,9;271055;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
03.04.2025;04.2025;Сибирь;Новосибирск;Аптечная сеть;Зелёная аптека;Безрецептурные;Дормивит;87;540;6,6;43879;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
04.04.2025;04.2025;Центр;Рязань;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Ветапрол;39;1450;5,7;53327;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
04.04.2025;04.2025;Центр;Тула;Дистрибьютор;МедТрейд;Безрецептурные;Дормивит;742;540;5,4;379043;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
05.04.2025;04.2025;Москва;Москва;Ветеринарная клиника;ВетСити;Ветеринария;Ветапрол;60;1450;5,5;82215;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
05.04.2025;04.2025;Москва;Москва;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;202;540;14,5;93263;2;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
07.04.2025;04.2025;Москва;Москва;Аптечная сеть;Зелёная аптека;Диабет;Глюкорин;148;2680;6,6;370462;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
07.04.2025;04.2025;Москва;Москва;Аптечная сеть;Городская аптека 24;Диабет;Глюкорин;152;2680;5,6;384548;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
07.04.2025;04.2025;Поволжье;Уфа;Ветеринарная клиника;ВетСити;Ветеринария;Ветапрол;53;1450;6,6;71778;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
07.04.2025;04.2025;Урал;Екатеринбург;Дистрибьютор;Фарма-Логистик;Безрецептурные;Дормивит;317;540;18,7;139169;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
11.04.2025;04.2025;Центр;Рязань;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Кардистан;83;2150;11,1;158642;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
12.04.2025;04.2025;Поволжье;Уфа;Аптечная сеть;Аптека Здравница;Респираторные;Респиролан;51;1890;4,9;91667;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
14.04.2025;04.2025;Поволжье;Нижний Новгород;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;38;38900;10,8;1318554;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
14.04.2025;04.2025;Сибирь;Омск;Аптечная сеть;Аптека Здравница;Кардиология;Кардистан;130;2150;6,5;261333;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
15.04.2025;04.2025;Сибирь;Новосибирск;Госпитальный сегмент;Городская больница № 12;Кардиология;Тензолар;148;980;12,5;126910;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
17.04.2025;04.2025;Москва;Москва;Дистрибьютор;Сибирский фармсклад;Ветеринария;Ветапрол;330;1450;8,8;436392;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
17.04.2025;04.2025;Урал;Екатеринбург;Онлайн-аптека;е-Аптека;Кардиология;Тензолар;109;980;6,7;99663;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
18.04.2025;04.2025;Поволжье;Уфа;Аптечная сеть;Аптека у дома;Респираторные;Пульмостат;38;1240;7,2;43727;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
20.04.2025;04.2025;Дальний Восток;Хабаровск;Аптечная сеть;Городская аптека 24;Респираторные;Респиролан;152;1890;7,1;266883;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
21.04.2025;04.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Респираторные;Пульмостат;76;1240;7,6;87078;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
21.04.2025;04.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Региональный онкоцентр;Безрецептурные;Гастролюкс;233;620;10,2;129725;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
22.04.2025;04.2025;Дальний Восток;Владивосток;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;16;38900;12,4;545222;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
22.04.2025;04.2025;Урал;Челябинск;Онлайн-аптека;АптекаМаркет;Диабет;Инсулакс;53;4320;3,4;221175;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
22.04.2025;04.2025;Юг;Краснодар;Аптечная сеть;Аптека Здравница;Респираторные;Пульмостат;73;1240;7,0;84184;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
23.04.2025;04.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Безрецептурные;Дормивит;233;540;12,0;110722;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
24.04.2025;04.2025;Москва;Москва;Аптечная сеть;Городская аптека 24;Респираторные;Респиролан;120;1890;7,5;209790;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
25.04.2025;04.2025;Юг;Ростов-на-Дону;Онлайн-аптека;АптекаМаркет;Диабет;Инсулакс;107;4320;3,4;446524;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
01.05.2025;05.2025;Дальний Восток;Хабаровск;Дистрибьютор;РосФарм Дистрибьюшн;Кардиология;Кардистан;683;2150;7,0;1365658;99;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
01.05.2025;05.2025;Центр;Рязань;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Гастролюкс;352;620;10,3;195761;3;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
02.05.2025;05.2025;Поволжье;Нижний Новгород;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Флеастоп;32;1120;7,1;33295;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
