Дата;Издание;Тип издания;Тема;Тональность;Охват;Запрос СМИ;Журналист;Телефон журналиста;Дата запроса;Дата ответа;Время ответа, ч;Ответственный;Комментарий
14.05.2025;Телеканал 24/7;ТВ;регуляторика;нейтральная;68615;да;Егорова Полина Ивановна;+7 (914) 538-65-55;14.05.2025;14.05.2025;13,5;Морозов Виктор Сергеевич;По итогам пресс-релиза
05.02.2026;Телеканал 24/7;ТВ;социальные проекты;позитивная;146306;да;Новикова Екатерина Владимировна;+7 (903) 478-94-48;05.02.2026;05.02.2026;5,1;Лебедева Валентина Владимировна;
04.04.2025;Рынок лекарств;отраслевой портал;корпоративные новости;нейтральная;347897;да;Соколова Виктория Владимировна;+7 (958) 039-21-59;04.04.2025;04.04.2025;11,7;Морозов Виктор Сергеевич;По итогам пресс-релиза
19.12.2025;Рынок лекарств;отраслевой портал;регуляторика;нейтральная;54016;нет;;;;;;Морозов Виктор Сергеевич;
29.04.2025;Здоровье сегодня;отраслевой портал;доступность и цены;негативная;422801;да;Лебедева Кристина Игоревна;+7 (972) 403-81-22;29.04.2025;29.04.2025;7,4;Воробьёв Олег Викторович;Взято на контроль
30.01.2026;Рынок лекарств;отраслевой портал;доступность и цены;нейтральная;471994;нет;;;;;;Лебедева Валентина Владимировна;Плановая публикация
16.04.2025;Здоровье сегодня;отраслевой портал;регуляторика;позитивная;287712;нет;;;;;;Воробьёв Олег Викторович;
25.02.2026;Социальная лента;соцсети;регуляторика;нейтральная;823800;да;Зайцев Алексей Денисович;+7 (999) 674-36-29;25.02.2026;25.02.2026;5,3;Зайцева Дарья Павловна;
20.04.2025;Кадровый обозреватель;деловые СМИ;клинические исследования;позитивная;642233;да;Андреев Егор Дмитриевич;+7 (953) 460-29-11;20.04.2025;21.04.2025;23,4;Воробьёв Олег Викторович;
13.06.2025;Деловой курьер;деловые СМИ;корпоративные новости;позитивная;265953;да;Лебедева Оксана Алексеевна;+7 (972) 267-69-93;13.06.2025;14.06.2025;37,2;Воробьёв Олег Викторович;Материал вышел без правок
16.12.2025;Телеканал 24/7;ТВ;наука;нейтральная;44403;нет;;;;;;Воробьёв Олег Викторович;
27.02.2026;Телеканал 24/7;ТВ;регуляторика;позитивная;491446;да;Волкова Мария Николаевна;+7 (960) 302-57-33;27.02.2026;27.02.2026;9,3;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
30.12.2025;Рынок лекарств;отраслевой портал;корпоративные новости;нейтральная;217287;да;Николаева Дарья Александровна;+7 (906) 793-53-58;30.12.2025;30.12.2025;13,6;Лебедева Валентина Владимировна;
22.09.2025;Столичный бизнес;деловые СМИ;социальные проекты;позитивная;198906;нет;;;;;;Зайцева Дарья Павловна;Хороший охват в целевой аудитории
16.03.2025;Столичный бизнес;деловые СМИ;клинические исследования;нейтральная;111744;нет;;;;;;Зайцева Дарья Павловна;
12.10.2025;Регион-Новости;региональные СМИ;наука;негативная;494056;нет;;;;;;Зайцева Дарья Павловна;Взято на контроль
08.08.2025;Рынок лекарств;отраслевой портал;регуляторика;позитивная;704103;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
09.11.2025;Столичный бизнес;деловые СМИ;клинические исследования;позитивная;39744;да;Сергеев Тимур Алексеевич;+7 (931) 296-91-22;09.11.2025;10.11.2025;25,2;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
26.02.2026;Здоровье сегодня;отраслевой портал;регуляторика;позитивная;27155;нет;;;;;;Лебедева Валентина Владимировна;Позитивный отклик, доп. комментариев не требуется
15.08.2025;Медпортал.Про;отраслевой портал;корпоративные новости;нейтральная;23560;нет;;;;;;Зайцева Дарья Павловна;
30.04.2025;Социальная лента;соцсети;наука;позитивная;525390;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
15.04.2025;Кадровый обозреватель;деловые СМИ;доступность и цены;позитивная;528181;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
02.06.2025;Столичный бизнес;деловые СМИ;доступность и цены;нейтральная;34682;нет;;;;;;Лебедева Валентина Владимировна;
22.05.2025;Деловой курьер;деловые СМИ;наука;позитивная;642543;да;Попова Мария Алексеевна;+7 (928) 946-98-21;22.05.2025;24.05.2025;42,0;Зайцева Дарья Павловна;Материал вышел без правок
10.12.2025;Деловой курьер;деловые СМИ;корпоративные новости;позитивная;10129;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
30.10.2025;Социальная лента;соцсети;кадры и работодатель;позитивная;253625;да;Степанова Людмила Ивановна;+7 (975) 111-59-01;30.10.2025;30.10.2025;11,0;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
10.07.2025;Деловой курьер;деловые СМИ;корпоративные новости;нейтральная;60966;нет;;;;;;Морозов Виктор Сергеевич;
04.12.2025;Деловой курьер;деловые СМИ;доступность и цены;нейтральная;327374;нет;;;;;;Зайцева Дарья Павловна;
08.07.2025;Кадровый обозреватель;деловые СМИ;регуляторика;позитивная;886992;да;Козлова Людмила Андреевна;+7 (911) 191-57-59;08.07.2025;08.07.2025;7,8;Воробьёв Олег Викторович;Материал вышел без правок
03.10.2025;ФармВестник-Онлайн;отраслевой портал;кадры и работодатель;позитивная;752975;нет;;;;;;Морозов Виктор Сергеевич;Хороший охват в целевой аудитории
04.04.2025;Деловой курьер;деловые СМИ;корпоративные новости;позитивная;614733;нет;;;;;;Морозов Виктор Сергеевич;Хороший охват в целевой аудитории
15.01.2026;ФармВестник-Онлайн;отраслевой портал;корпоративные новости;нейтральная;611347;нет;;;;;;Воробьёв Олег Викторович;
11.04.2025;Столичный бизнес;деловые СМИ;наука;нейтральная;313650;нет;;;;;;Морозов Виктор Сергеевич;
01.10.2025;Деловой курьер;деловые СМИ;наука;нейтральная;871414;нет;;;;;;Воробьёв Олег Викторович;Плановая публикация
16.05.2025;Медпортал.Про;отраслевой портал;доступность и цены;позитивная;309884;нет;;;;;;Воробьёв Олег Викторович;Хороший охват в целевой аудитории
20.01.2026;Рынок лекарств;отраслевой портал;корпоративные новости;позитивная;709478;нет;;;;;;Зайцева Дарья Павловна;Материал вышел без правок
26.08.2025;Столичный бизнес;деловые СМИ;корпоративные новости;нейтральная;725935;да;Яковлева Александра Викторовна;+7 (954) 195-58-21;26.08.2025;26.08.2025;8,6;Зайцева Дарья Павловна;
27.08.2025;Столичный бизнес;деловые СМИ;корпоративные новости;позитивная;676131;да;Павлов Павел Максимович;+7 (934) 772-27-48;27.08.2025;27.08.2025;8,3;Морозов Виктор Сергеевич;
12.11.2025;Деловой курьер;деловые СМИ;социальные проекты;позитивная;871552;нет;;;;;;Морозов Виктор Сергеевич;Материал вышел без правок
25.12.2025;Кадровый обозреватель;деловые СМИ;наука;позитивная;162013;нет;;;;;;Зайцева Дарья Павловна;Позитивный отклик, доп. комментариев не требуется
29.06.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;нейтральная;534073;нет;;;;;;Лебедева Валентина Владимировна;
05.05.2025;ФармВестник-Онлайн;отраслевой портал;корпоративные новости;позитивная;24367;нет;;;;;;Зайцева Дарья Павловна;Позитивный отклик, доп. комментариев не требуется
03.01.2026;ФармВестник-Онлайн;отраслевой портал;регуляторика;позитивная;756342;да;Зайцев Тимур Владимирович;+7 (951) 730-56-23;03.01.2026;04.01.2026;36,0;Лебедева Валентина Владимировна;Материал вышел без правок
13.07.2025;Медпортал.Про;отраслевой портал;наука;нейтральная;772845;да;Соловьёв Владимир Максимович;+7 (992) 178-57-39;13.07.2025;14.07.2025;16,8;Лебедева Валентина Владимировна;По итогам пресс-релиза
30.11.2025;Медпортал.Про;отраслевой портал;регуляторика;негативная;131236;нет;;;;;;Воробьёв Олег Викторович;Требуется мониторинг реакции
02.05.2025;Медпортал.Про;отраслевой портал;социальные проекты;позитивная;755151;да;Кудрявцева Дарья Владимировна;+7 (998) 575-75-20;02.05.2025;02.05.2025;8,5;Морозов Виктор Сергеевич;Материал вышел без правок
11.09.2025;Деловой курьер;деловые СМИ;доступность и цены;негативная;804964;да;Никитина Светлана Сергеевна;+7 (902) 612-31-07;11.09.2025;12.09.2025;36,7;Зайцева Дарья Павловна;Обсуждалось с руководством
18.02.2026;Социальная лента;соцсети;наука;нейтральная;293713;да;Козлова Кристина Владимировна;+7 (983) 400-99-63;18.02.2026;18.02.2026;8,3;Воробьёв Олег Викторович;По итогам пресс-релиза
29.04.2025;Регион-Новости;региональные СМИ;наука;нейтральная;474475;нет;;;;;;Воробьёв Олег Викторович;
06.05.2025;Кадровый обозреватель;деловые СМИ;кадры и работодатель;позитивная;313046;да;Яковлев Максим Николаевич;+7 (909) 901-51-34;06.05.2025;06.05.2025;4,5;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
02.04.2025;Социальная лента;соцсети;доступность и цены;позитивная;685435;да;Никитин Денис Игоревич;+7 (950) 558-46-19;02.04.2025;02.04.2025;8,5;Морозов Виктор Сергеевич;Материал вышел без правок
11.01.2026;Телеканал 24/7;ТВ;корпоративные новости;позитивная;403732;нет;;;;;;Морозов Виктор Сергеевич;Позитивный отклик, доп. комментариев не требуется
16.10.2025;Медпортал.Про;отраслевой портал;социальные проекты;позитивная;491928;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
20.10.2025;Кадровый обозреватель;деловые СМИ;доступность и цены;нейтральная;355708;нет;;;;;;Лебедева Валентина Владимировна;
07.11.2025;Кадровый обозреватель;деловые СМИ;кадры и работодатель;нейтральная;334712;да;Степанов Игорь Олегович;+7 (974) 590-19-22;07.11.2025;07.11.2025;6,2;Зайцева Дарья Павловна;По итогам пресс-релиза
26.05.2025;Деловой курьер;деловые СМИ;регуляторика;позитивная;750864;нет;;;;;;Морозов Виктор Сергеевич;Материал вышел без правок
16.12.2025;Деловой курьер;деловые СМИ;клинические исследования;позитивная;330741;нет;;;;;;Воробьёв Олег Викторович;Хороший охват в целевой аудитории
05.02.2026;Медпортал.Про;отраслевой портал;клинические исследования;позитивная;113370;нет;;;;;;Лебедева Валентина Владимировна;
27.01.2026;Регион-Новости;региональные СМИ;регуляторика;негативная;375473;нет;;;;;;Зайцева Дарья Павловна;Направлен комментарий юр. службы
01.10.2025;Рынок лекарств;отраслевой портал;корпоративные новости;позитивная;501926;нет;;;;;;Морозов Виктор Сергеевич;Позитивный отклик, доп. комментариев не требуется
15.08.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;позитивная;291998;да;Андреева Мария Алексеевна;+7 (908) 112-86-75;15.08.2025;15.08.2025;9,5;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
15.08.2025;Здоровье сегодня;отраслевой портал;регуляторика;негативная;240964;да;Иванов Станислав Денисович;+7 (982) 614-97-06;15.08.2025;15.08.2025;7,0;Воробьёв Олег Викторович;Требуется мониторинг реакции
23.04.2025;Телеканал 24/7;ТВ;кадры и работодатель;позитивная;256871;нет;;;;;;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
10.06.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;позитивная;599095;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
07.01.2026;Рынок лекарств;отраслевой портал;кадры и работодатель;позитивная;17089;нет;;;;;;Воробьёв Олег Викторович;Хороший охват в целевой аудитории
23.09.2025;Телеканал 24/7;ТВ;социальные проекты;нейтральная;555081;нет;;;;;;Морозов Виктор Сергеевич;
30.11.2025;Регион-Новости;региональные СМИ;доступность и цены;позитивная;631606;нет;;;;;;Воробьёв Олег Викторович;
24.11.2025;Рынок лекарств;отраслевой портал;корпоративные новости;нейтральная;432957;да;Новикова Татьяна Алексеевна;+7 (941) 998-13-72;24.11.2025;24.11.2025;4,3;Лебедева Валентина Владимировна;
27.04.2025;Социальная лента;соцсети;регуляторика;позитивная;257142;нет;;;;;;Морозов Виктор Сергеевич;Хороший охват в целевой аудитории
01.05.2025;Телеканал 24/7;ТВ;регуляторика;нейтральная;7335;нет;;;;;;Лебедева Валентина Владимировна;
29.09.2025;Деловой курьер;деловые СМИ;доступность и цены;негативная;14364;нет;;;;;;Морозов Виктор Сергеевич;Требуется мониторинг реакции
21.01.2026;Социальная лента;соцсети;клинические исследования;позитивная;135431;нет;;;;;;Морозов Виктор Сергеевич;Хороший охват в целевой аудитории
25.03.2025;Здоровье сегодня;отраслевой портал;корпоративные новости;позитивная;693738;нет;;;;;;Лебедева Валентина Владимировна;
20.10.2025;Регион-Новости;региональные СМИ;клинические исследования;нейтральная;518404;да;Новиков Роман Викторович;+7 (980) 500-93-74;20.10.2025;20.10.2025;4,8;Воробьёв Олег Викторович;По итогам пресс-релиза
29.05.2025;Столичный бизнес;деловые СМИ;регуляторика;позитивная;869745;нет;;;;;;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
24.02.2026;Здоровье сегодня;отраслевой портал;корпоративные новости;позитивная;365107;да;Зайцева Ольга Владимировна;+7 (983) 863-76-23;24.02.2026;24.02.2026;8,2;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
04.03.2025;Деловой курьер;деловые СМИ;социальные проекты;негативная;865402;нет;;;;;;Морозов Виктор Сергеевич;Обсуждалось с руководством
17.03.2025;Деловой курьер;деловые СМИ;корпоративные новости;позитивная;635917;да;Степанова Виктория Сергеевна;+7 (953) 451-16-00;17.03.2025;18.03.2025;29,6;Воробьёв Олег Викторович;
15.05.2025;Деловой курьер;деловые СМИ;корпоративные новости;позитивная;24382;нет;;;;;;Воробьёв Олег Викторович;Хороший охват в целевой аудитории
19.01.2026;Социальная лента;соцсети;регуляторика;позитивная;375027;да;Соловьёва Валентина Дмитриевна;+7 (921) 441-02-44;19.01.2026;19.01.2026;11,6;Зайцева Дарья Павловна;Хороший охват в целевой аудитории
27.07.2025;Регион-Новости;региональные СМИ;регуляторика;позитивная;880035;да;Морозов Игорь Романович;+7 (936) 554-18-53;27.07.2025;28.07.2025;34,5;Морозов Виктор Сергеевич;
25.01.2026;Кадровый обозреватель;деловые СМИ;регуляторика;позитивная;526806;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
22.11.2025;Столичный бизнес;деловые СМИ;корпоративные новости;позитивная;36724;нет;;;;;;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
30.06.2025;Столичный бизнес;деловые СМИ;наука;негативная;41805;нет;;;;;;Лебедева Валентина Владимировна;Взято на контроль
29.03.2025;Телеканал 24/7;ТВ;корпоративные новости;негативная;600623;нет;;;;;;Морозов Виктор Сергеевич;Обсуждалось с руководством
16.11.2025;ФармВестник-Онлайн;отраслевой портал;социальные проекты;позитивная;362500;да;Козлов Максим Иванович;+7 (909) 328-73-47;16.11.2025;17.11.2025;23,4;Морозов Виктор Сергеевич;Позитивный отклик, доп. комментариев не требуется
02.07.2025;Социальная лента;соцсети;социальные проекты;нейтральная;314628;нет;;;;;;Воробьёв Олег Викторович;По итогам пресс-релиза
20.11.2025;Здоровье сегодня;отраслевой портал;регуляторика;нейтральная;227039;нет;;;;;;Воробьёв Олег Викторович;Плановая публикация
31.01.2026;Медпортал.Про;отраслевой портал;наука;нейтральная;781520;да;Романов Тимур Игоревич;+7 (905) 090-04-55;31.01.2026;31.01.2026;14,1;Воробьёв Олег Викторович;Плановая публикация
18.03.2025;Социальная лента;соцсети;социальные проекты;позитивная;814151;нет;;;;;;Воробьёв Олег Викторович;Хороший охват в целевой аудитории
19.11.2025;Рынок лекарств;отраслевой портал;корпоративные новости;нейтральная;404281;нет;;;;;;Зайцева Дарья Павловна;По итогам пресс-релиза
10.05.2025;Столичный бизнес;деловые СМИ;клинические исследования;негативная;691571;нет;;;;;;Воробьёв Олег Викторович;Взято на контроль
19.10.2025;Социальная лента;соцсети;кадры и работодатель;нейтральная;319464;нет;;;;;;Лебедева Валентина Владимировна;
07.03.2025;Деловой курьер;деловые СМИ;социальные проекты;нейтральная;119692;нет;;;;;;Воробьёв Олег Викторович;По итогам пресс-релиза
15.07.2025;Кадровый обозреватель;деловые СМИ;клинические исследования;нейтральная;657511;да;Андреева Екатерина Игоревна;+7 (966) 088-88-26;15.07.2025;15.07.2025;11,8;Воробьёв Олег Викторович;Плановая публикация
09.10.2025;Социальная лента;соцсети;доступность и цены;нейтральная;762758;нет;;;;;;Морозов Виктор Сергеевич;По итогам пресс-релиза
12.05.2025;ФармВестник-Онлайн;отраслевой портал;доступность и цены;позитивная;33700;да;Алексеев Олег Романович;+7 (975) 437-03-11;12.05.2025;12.05.2025;6,8;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
07.07.2025;Кадровый обозреватель;деловые СМИ;социальные проекты;позитивная;811347;нет;;;;;;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
18.02.2026;Регион-Новости;региональные СМИ;корпоративные новости;позитивная;496700;нет;;;;;;Морозов Виктор Сергеевич;
12.01.2026;Столичный бизнес;деловые СМИ;доступность и цены;позитивная;635594;нет;;;;;;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
28.10.2025;ФармВестник-Онлайн;отраслевой портал;корпоративные новости;нейтральная;613379;да;Новикова Светлана Викторовна;+7 (911) 657-28-51;28.10.2025;28.10.2025;10,9;Лебедева Валентина Владимировна;Плановая публикация
27.12.2025;Медпортал.Про;отраслевой портал;наука;нейтральная;535211;нет;;;;;;Морозов Виктор Сергеевич;По итогам пресс-релиза
11.04.2025;Здоровье сегодня;отраслевой портал;регуляторика;нейтральная;250611;да;Соловьёва Кристина Павловна;+7 (948) 889-64-39;11.04.2025;11.04.2025;6,1;Морозов Виктор Сергеевич;По итогам пресс-релиза
06.10.2025;Столичный бизнес;деловые СМИ;клинические исследования;позитивная;319660;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
17.05.2025;Деловой курьер;деловые СМИ;кадры и работодатель;нейтральная;448424;да;Николаева Виктория Павловна;+7 (945) 261-45-95;17.05.2025;21.05.2025;93,9;Лебедева Валентина Владимировна;
26.03.2025;Здоровье сегодня;отраслевой портал;кадры и работодатель;нейтральная;481998;нет;;;;;;Зайцева Дарья Павловна;
08.10.2025;Рынок лекарств;отраслевой портал;регуляторика;позитивная;71340;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
07.04.2025;Кадровый обозреватель;деловые СМИ;регуляторика;нейтральная;701477;нет;;;;;;Морозов Виктор Сергеевич;
08.01.2026;Здоровье сегодня;отраслевой портал;наука;нейтральная;116503;да;Зайцев Сергей Андреевич;+7 (949) 040-17-33;08.01.2026;08.01.2026;4,9;Воробьёв Олег Викторович;По итогам пресс-релиза
05.08.2025;Кадровый обозреватель;деловые СМИ;регуляторика;нейтральная;77696;нет;;;;;;Воробьёв Олег Викторович;
04.06.2025;ФармВестник-Онлайн;отраслевой портал;кадры и работодатель;нейтральная;421404;да;Макарова Анна Викторовна;+7 (974) 341-38-94;04.06.2025;04.06.2025;12,8;Морозов Виктор Сергеевич;По итогам пресс-релиза
30.11.2025;Кадровый обозреватель;деловые СМИ;наука;позитивная;209069;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
08.07.2025;Кадровый обозреватель;деловые СМИ;регуляторика;нейтральная;656393;да;Андреева Екатерина Павловна;+7 (904) 411-82-42;08.07.2025;08.07.2025;6,0;Лебедева Валентина Владимировна;По итогам пресс-релиза
18.11.2025;Телеканал 24/7;ТВ;клинические исследования;позитивная;3860;нет;;;;;;Лебедева Валентина Владимировна;Материал вышел без правок
13.06.2025;Телеканал 24/7;ТВ;корпоративные новости;негативная;321148;нет;;;;;;Морозов Виктор Сергеевич;Требуется мониторинг реакции
23.01.2026;Деловой курьер;деловые СМИ;кадры и работодатель;позитивная;444359;да;Николаев Андрей Николаевич;+7 (989) 074-21-25;23.01.2026;24.01.2026;34,8;Лебедева Валентина Владимировна;
13.06.2025;Медпортал.Про;отраслевой портал;наука;позитивная;144415;нет;;;;;;Воробьёв Олег Викторович;Позитивный отклик, доп. комментариев не требуется
22.07.2025;Кадровый обозреватель;деловые СМИ;клинические исследования;позитивная;99776;да;Захаров Николай Сергеевич;+7 (965) 184-96-91;22.07.2025;22.07.2025;8,7;Морозов Виктор Сергеевич;Материал вышел без правок
27.10.2025;Здоровье сегодня;отраслевой портал;регуляторика;позитивная;332853;да;Макарова Елена Игоревна;+7 (943) 364-58-68;27.10.2025;27.10.2025;6,6;Морозов Виктор Сергеевич;Хороший охват в целевой аудитории
03.10.2025;Социальная лента;соцсети;корпоративные новости;нейтральная;844030;нет;;;;;;Воробьёв Олег Викторович;
14.03.2025;Регион-Новости;региональные СМИ;наука;негативная;73582;да;Воробьёв Кирилл Николаевич;+7 (984) 098-27-19;14.03.2025;14.03.2025;12,0;Лебедева Валентина Владимировна;Обсуждалось с руководством
30.01.2026;Телеканал 24/7;ТВ;доступность и цены;нейтральная;109803;нет;;;;;;Лебедева Валентина Владимировна;
19.04.2025;Рынок лекарств;отраслевой портал;клинические исследования;нейтральная;377489;нет;;;;;;Воробьёв Олег Викторович;
23.10.2025;Социальная лента;соцсети;кадры и работодатель;позитивная;108094;да;Воробьёва Людмила Олеговна;+7 (929) 427-66-11;23.10.2025;23.10.2025;13,7;Зайцева Дарья Павловна;Хороший охват в целевой аудитории
07.07.2025;Деловой курьер;деловые СМИ;наука;нейтральная;581705;нет;;;;;;Зайцева Дарья Павловна;По итогам пресс-релиза
11.01.2026;Медпортал.Про;отраслевой портал;социальные проекты;негативная;256418;нет;;;;;;Зайцева Дарья Павловна;Взято на контроль
04.01.2026;Столичный бизнес;деловые СМИ;наука;нейтральная;53104;да;Захарова Екатерина Андреевна;+7 (996) 512-16-47;04.01.2026;05.01.2026;34,8;Морозов Виктор Сергеевич;Плановая публикация
05.05.2025;Здоровье сегодня;отраслевой портал;кадры и работодатель;негативная;502086;да;Алексеев Сергей Викторович;+7 (998) 157-12-69;05.05.2025;05.05.2025;5,1;Морозов Виктор Сергеевич;Взято на контроль
30.09.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;нейтральная;193666;нет;;;;;;Зайцева Дарья Павловна;
20.08.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;позитивная;251255;да;Богданова Виктория Олеговна;+7 (985) 305-98-76;20.08.2025;20.08.2025;10,2;Морозов Виктор Сергеевич;Материал вышел без правок
16.06.2025;ФармВестник-Онлайн;отраслевой портал;доступность и цены;негативная;184847;да;Романов Игорь Викторович;+7 (939) 556-90-54;16.06.2025;16.06.2025;4,9;Морозов Виктор Сергеевич;Требуется мониторинг реакции
08.06.2025;Кадровый обозреватель;деловые СМИ;доступность и цены;позитивная;649199;да;Кудрявцев Олег Денисович;+7 (982) 592-84-61;08.06.2025;10.06.2025;39,0;Морозов Виктор Сергеевич;Позитивный отклик, доп. комментариев не требуется
07.06.2025;Столичный бизнес;деловые СМИ;доступность и цены;позитивная;223667;нет;;;;;;Зайцева Дарья Павловна;Хороший охват в целевой аудитории
04.03.2025;Социальная лента;соцсети;кадры и работодатель;нейтральная;289037;да;Орлов Владимир Игоревич;+7 (945) 337-93-77;04.03.2025;04.03.2025;4,7;Морозов Виктор Сергеевич;По итогам пресс-релиза
12.12.2025;Рынок лекарств;отраслевой портал;наука;нейтральная;469111;нет;;;;;;Зайцева Дарья Павловна;Плановая публикация
05.03.2025;Телеканал 24/7;ТВ;клинические исследования;нейтральная;489946;да;Никитина Александра Александровна;+7 (998) 284-81-45;05.03.2025;05.03.2025;5,7;Лебедева Валентина Владимировна;
29.08.2025;Столичный бизнес;деловые СМИ;кадры и работодатель;позитивная;377746;нет;;;;;;Лебедева Валентина Владимировна;
09.06.2025;Социальная лента;соцсети;кадры и работодатель;позитивная;100792;нет;;;;;;Морозов Виктор Сергеевич;Материал вышел без правок
15.05.2025;ФармВестник-Онлайн;отраслевой портал;наука;позитивная;578680;нет;;;;;;Морозов Виктор Сергеевич;Материал вышел без правок
27.11.2025;Здоровье сегодня;отраслевой портал;доступность и цены;позитивная;189361;нет;;;;;;Морозов Виктор Сергеевич;
15.12.2025;Столичный бизнес;деловые СМИ;социальные проекты;нейтральная;401265;да;Алексеев Максим Романович;+7 (913) 919-82-07;15.12.2025;15.12.2025;9,9;Лебедева Валентина Владимировна;Плановая публикация
20.10.2025;ФармВестник-Онлайн;отраслевой портал;регуляторика;нейтральная;513018;нет;;;;;;Лебедева Валентина Владимировна;
01.08.2025;Телеканал 24/7;ТВ;социальные проекты;негативная;306241;нет;;;;;;Лебедева Валентина Владимировна;Обсуждалось с руководством
26.08.2025;Медпортал.Про;отраслевой портал;регуляторика;нейтральная;290086;нет;;;;;;Морозов Виктор Сергеевич;По итогам пресс-релиза
25.11.2025;Социальная лента;соцсети;регуляторика;позитивная;896970;нет;;;;;;Морозов Виктор Сергеевич;
26.04.2025;Рынок лекарств;отраслевой портал;кадры и работодатель;нейтральная;445357;нет;;;;;;Морозов Виктор Сергеевич;
